delivery_id,district,lat,lon,address_line,recipient_name,assigned_driver,weight_kg
T00001,Esenyurt,41.026939,28.676362,Güçlü Sokak No:81,Nili Zorlu,D0004,17.25
T00002,Bahçelievler,41.022099,28.832625,Durdu Sokak No:48,Pembesin Aksu,D0005,3.62
T00003,Fatih,41.01748,28.945922,31. Sokak No:86,Asu Şener,D0003,15.88
T00004,Esenyurt,41.040255,28.668132,Öcalan Bulvarı No:42,Müğber Aslan,D0016,1.66
T00005,Esenyurt,41.006292,28.676916,Hayrioğlu Caddesi No:8,Aclan Yorulmaz,D0012,1.39
T00006,Pendik,40.880811,29.243549,Kısakürek Sokak No:28,Özyurt Tarhan,D0016,6.27
T00007,Beylikdüzü,40.987371,28.660148,79. Sokak No:199,Rabih Bilge,D0012,20.87
T00008,Bağcılar,41.033192,28.844972,6. Sokak No:3,Ahter Bilir,D0011,10.73
T00009,Üsküdar,41.015798,29.036367,44. Sokak No:58,Göknur Ertaş,D0015,4.24
T00010,Üsküdar,41.020339,29.026999,Erdoğan Bulvarı No:129,Faize Karadeniz,D0003,22.47
T00011,Kartal,40.897129,29.212335,Şama Caddesi No:60,Nurcan Akça,D0011,20.66
T00012,Ümraniye,40.996794,29.135066,Fırat Caddesi No:33,Canfeza Durmuş,D0003,10.37
T00013,Bağcılar,41.020361,28.834721,Tarhan Sokak No:36,Nesfe Bilgin,D0012,23.96
T00014,Küçükçekmece,40.986625,28.805733,Akgündüz Caddesi No:145,Kaver Akgündüz,D0014,18.68
T00015,Ümraniye,41.023173,29.124288,59. Sokak No:95,Ferahdiba Ülker,D0010,10.34
T00016,Esenyurt,41.033001,28.677334,43. Sokak No:169,Rasul Yıldırım,D0020,5.09
T00017,Ataşehir,40.971381,29.11204,Kısakürek Sokağı No:97,Ahter Öcalan,D0006,23.38
T00018,Kadıköy,40.99844,29.025655,İnönü Caddesi No:43,Nurşan Zorlu,D0018,22.23
T00019,Şişli,41.063528,29.012896,Çamurcuoğlu Bulvarı No:2,Mecide Duran,D0008,9.28
T00020,Küçükçekmece,40.99256,28.769234,Bilgin Bulvarı No:34,Nevsal Hayrioğlu,D0011,7.02
