driver_id,full_name,plate,home_district
D0001,Emirşan Eraslan,34 DI 179,Şişli
D0002,Borahan Aksu,34 VL 833,Pendik
D0003,Ticen Arsoy,34 SI 946,Kadıköy
D0004,Ünsever Ergül,34 CF 291,Beşiktaş
D0005,Laika Eraslan,34 MW 743,Sarıyer
D0006,Akdora Çorlu,34 LQ 194,Fatih
D0007,Hindal Akçay,34 IS 244,Bahçelievler
D0008,Üçgül Yaman,34 DH 460,Sultanbeyli
D0009,Özpınar Sezer,34 GZ 604,Sarıyer
D0010,Pürçek Çetin,34 PT 618,Zeytinburnu
D0011,Güverçin Arsoy,34 UF 554,Küçükçekmece
D0012,Gözem Çorlu,34 IK 108,Üsküdar
D0013,Duha Eraslan,34 MW 788,Bahçelievler
D0014,Mezide Manço,34 NG 256,Ümraniye
D0015,Piran Aslan,34 CQ 948,Beylikdüzü
D0016,Efser Bilgin,34 HQ 587,Sarıyer
D0017,Yahşikan Şafak,34 VY 721,Bağcılar
D0018,Masar Çetin,34 RZ 618,Bahçelievler
D0019,Elifnur Tarhan,34 AM 943,Sultanbeyli
D0020,Henife Çamurcuoğlu,34 YY 878,Küçükçekmece
